"","ENTREZID","SYMBOL"
"1","20411","Sorbs1"
"2","328845","Acsbg2"
"3","16592","Fabp5"
"4","18534","Pck1"
"5","13122","Cyp7a1"
"6","80911","Acox3"
"7","74551","Pck2"
"8","22190","Ubc"
"9","50790","Acsl4"
"10","83996","Mmp1b"
"11","329065","Scd4"
"12","83995","Mmp1a"
"13","20250","Scd2"
"14","13167","Dbi"
"15","230639","Cyp4a29"
"16","13124","Cyp8b1"
"17","14933","Gk"
"18","433256","Acsl5"
"19","103968","Plin1"
"20","16956","Lpl"
"21","108078","Olr1"
"22","16202","Ilk"
"23","74205","Acsl3"
"24","78070","Cpt1c"
"25","26569","Slc27a4"
"26","57875","Angptl4"
"27","277753","Cyp4a12a"
"28","11430","Acox1"
"29","216739","Acsl6"
"30","20183","Rxrg"
"31","20182","Rxrb"
"32","16204","Fabp6"
"33","20181","Rxra"
"34","14626","Gk2"
"35","11832","Aqp7"
"36","12491","Cd36"
"37","66113","Apoa5"
"38","15360","Hmgcs2"
"39","18830","Pltp"
"40","104086","Cyp27a1"
"41","14079","Fabp2"
"42","235674","Acaa1b"
"43","14077","Fabp3"
"44","93732","Acox2"
"45","435802","Cyp4a30b"
"46","666168","Cyp4a31"
"47","26458","Slc27a2"
"48","26457","Slc27a1"
"49","56473","Fads2"
"50","26459","Slc27a5"
"51","22259","Nr1h3"
"52","94180","Acsbg1"
"53","11807","Apoa2"
"54","11806","Apoa1"
"55","11364","Acadm"
"56","12894","Cpt1a"
"57","12895","Cpt1b"
"58","11363","Acadl"
"59","30049","Scd3"
"60","12896","Cpt2"
"61","19016","Pparg"
"62","113868","Acaa1a"
"63","19015","Ppard"
"64","100040843","Cyp4a32"
"65","12140","Fabp7"
"66","11450","Adipoq"
"67","19013","Ppara"
"68","74147","Ehhadh"
"69","225579","Slc27a6"
"70","14081","Acsl1"
"71","20249","Scd1"
"72","22227","Ucp1"
"73","14080","Fabp1"
"74","11814","Apoc3"
"75","11770","Fabp4"
"76","18607","Pdpk1"
"77","20280","Scp2"
"78","13118","Cyp4a12b"
"79","13119","Cyp4a14"
"80","17436","Me1"
"81","13117","Cyp4a10"
