"","ENTREZID","SYMBOL"
"1","70316","Ndufab1"
"2","66694","Uqcrfs1"
"3","17720","ND4L"
"4","67942","Atp5g2"
"5","66576","Uqcrh"
"6","225887","Ndufs8"
"7","66218","Ndufb9"
"8","595136","Ndufs5"
"9","68194","Ndufb4"
"10","11740","Slc25a5"
"11","17721","ND5"
"12","17722","ND6"
"13","11983","Atpif1"
"14","68198","Ndufb2"
"15","68197","Ndufc2"
"16","66052","Sdhc"
"17","72900","Ndufv2"
"18","407785","Ndufs6"
"19","20463","Cox7a2l"
"20","66108","Ndufa9"
"21","102641600",NA
"22","54405","Ndufa1"
"23","67273","Ndufa10"
"24","66594","Uqcr11"
"25","74011","Slc25a27"
"26","66916","Ndufb7"
"27","102641678",NA
"28","102641315",NA
"29","17708","COX1"
"30","17709","COX2"
"31","17705","ATP6"
"32","17706","ATP8"
"33","68375","Ndufa8"
"34","67680","Sdhb"
"35","71679","Atp5h"
"36","22228","Ucp2"
"37","22229","Ucp3"
"38","66925","Sdhd"
"39","78330","Ndufv3"
"40","22227","Ucp1"
"41","11739","Slc25a4"
"42","17718","ND3"
"43","17719","ND4"
"44","17716","ND1"
"45","17717","ND2"
"46","17710","COX3"
"47","17711","CYTB"
"48","66377","Ndufc1"
"49","66495","Ndufb3"
"50","75406","Ndufs7"
"51","66414","Ndufa12"
"52","66416","Ndufa7"
"53","226139","Cox15"
"54","20930","Surf1"
"55","11946","Atp5a1"
"56","227197","Ndufs1"
"57","11947","Atp5b"
"58","22272","Uqcrq"
"59","52892","Sco1"
"60","22273","Uqcrc1"
"61","57423","Atp5j2"
"62","11949","Atp5c1"
"63","66091","Ndufa3"
"64","68202","Ndufa5"
"65","230075","Ndufb6"
"66","66945","Sdha"
"67","100041273","Ndufb4c"
"68","226646","Ndufs2"
"69","11957","Atp5j"
"70","11958","Atp5k"
"71","228033","Atp5g3"
"72","66142","Cox7b"
"73","11950","Atp5pb"
"74","67003","Uqcrc2"
"75","110323","Cox6b1"
"76","67126","Atp5e"
"77","27425","Atp5l"
"78","12858","Cox5a"
"79","12859","Cox5b"
"80","12856","Cox17"
"81","12857","Cox4i1"
"82","66152","Uqcr10"
"83","68055","Dmac2l"
"84","66046","Ndufb5"
"85","17992","Ndufa4"
"86","17993","Ndufs4"
"87","100042503","Ndufb4b"
"88","67530","Uqcrb"
"89","17995","Ndufv1"
"90","68349","Ndufs3"
"91","17991","Ndufa2"
"92","20523","Slc25a14"
"93","12868","Cox8a"
"94","102641347",NA
"95","28080","Atp5o"
"96","12861","Cox6a1"
"97","12862","Cox6a2"
"98","12865","Cox7a1"
"99","68342","Ndufb10"
"100","12866","Cox7a2"
"101","66043","Atp5d"
"102","12864","Cox6c"
"103","67130","Ndufa6"
